symbol,model_type,window_size,batch_size,hidden_size,num_layers,learning_rate,dropout,epochs_trained,val_rmse,test_rmse,test_mae,test_mape_pct,val_naive_baseline_rmse,test_naive_baseline_rmse,val_rmse_minus_naive,test_rmse_minus_naive,val_rmse_vs_naive_pct,test_rmse_vs_naive_pct,val_directional_accuracy_pct,test_directional_accuracy_pct,beats_val_naive_baseline,beats_test_naive_baseline,feature_columns,n_train,n_val,n_test
dowjones,rnn,20,64,32,1,0.001,0.0,3,2381.52490234375,4025.04833984375,3814.115478515625,8.935173988342285,290.4812316894531,585.1799926757812,2091.043670654297,3439.8683471679688,719.8550000950781,587.8308196148166,47.82608695652174,47.368421052631575,False,False,"open,high,low,close,range_hl,return_1d,change_pct_lag1,volume",888,253,95
nasdaq100,gru,20,64,32,1,0.001,0.0,3,1488.224853515625,2386.492919921875,2269.630126953125,11.019556045532227,220.13644409179688,396.978515625,1268.0884094238281,1989.514404296875,576.0465581496517,501.16425095816544,42.857142857142854,43.15789473684211,False,False,"open,high,low,close,range_hl,return_1d,change_pct_lag1",888,252,95
sp500,gru,20,64,32,1,0.001,0.0,3,442.99847412109375,668.0676879882812,645.7815551757812,11.11314582824707,43.515445709228516,91.49343872070312,399.48302841186523,576.5742492675781,918.0258225578626,630.1809805484019,42.857142857142854,42.10526315789473,False,False,"open,high,low,close,range_hl,return_1d,change_pct_lag1",888,252,95
