symbol,model,mae,rmse,mase,directional_accuracy,mae_improvement_vs_naive,mae_std_across_seeds,observations
sp500,naive_persistence,59.90894736842104,91.49346497802017,1.8042734856174116,0.0,0.0,0.0,95
sp500,moving_average_20,164.6120631578947,208.54117448368999,4.957609739695148,0.45263157894736844,-1.7477041475221171,0.0,95
sp500,linear_regression,65.52584941035698,94.54949153832092,1.973437322919573,0.4631578947368421,-0.09375731486974352,0.0,95
sp500,random_forest,70.87995002925605,100.69922392931248,2.134686388549116,0.5368421052631579,-0.18312794904184884,0.635581724164748,95
nasdaq100,naive_persistence,266.7235789473683,396.9786532031001,1.7431535467654344,0.0,0.0,0.0,95
nasdaq100,moving_average_20,744.7365578947365,933.2373229029483,4.867174388643978,0.45263157894736844,-1.7921661850589254,0.0,95
nasdaq100,linear_regression,290.25868115595233,406.8228296245796,1.8969655833701007,0.4421052631578947,-0.08823780147771684,0.0,95
nasdaq100,random_forest,310.3586756527455,429.7550319756344,2.028327710540584,0.47368421052631576,-0.1635966976657416,0.8103136234500926,95
dowjones,naive_persistence,389.8884210526316,585.1798938050454,1.6742585210831948,0.0,0.0,0.0,95
dowjones,moving_average_20,1072.3038421052622,1316.563287424239,4.604686233020067,0.45263157894736844,-1.750283886888014,0.0,95
dowjones,linear_regression,416.1395913799056,604.1958098618156,1.7869862740392433,0.45263157894736844,-0.06732995623824979,0.0,95
dowjones,random_forest,435.29599709023483,639.2582590904697,1.869247694902306,0.5263157894736842,-0.11646300219691212,12.37297835957206,95
